dV.EarthMJ2000Eq.Element1       dV.EarthMJ2000Eq.Element2     dV.EarthMJ2000Eq.Element3   
-0.02263165253058913            0.02267983525317713          -0.001364259283054504           
0.01133247059921583            -0.01953217357611341           0.01247585083747637              
0.003696355989169846           -0.004709746685339394          0.01461216953990576 Yes           
-0.004873280356119337          -0.007500302117829953          0.01748835216221812 Yes           
0.004395508963826083           -0.006574683170090312          0.01163890236306115 Yes           
-0.003729004790675886          -0.002912961186885862          0.01277290066887374 Yes         
0.003390651811125526           -0.005644399141577779          0.01143305771064858 Yes           
-0.003048218009434191          -0.003950944322589558          0.01099888048023886 Yes        
0.001693792364818979           -0.002281349967081013          0.008762453816533339 Yes        
-0.002822612198624273          -0.005352768508478975          0.01193703854590986 Yes           
